"","molecular_formula","C","H","O","N","P","S","AImod","NOSC","GFE","HC","OC","El","Class1","Class2","Class3"
"C30 H28 O17 13C1","C30 H28 O17 13C1",30,28,17,0,0,0,0.3953,0.2,54.6,0.93,0.57,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C31 H31 O16 N1","C31 H31 O16 N1",31,31,16,1,0,0,0.3636,0.129,56.6235,1,0.52,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C31 H32 O16 13C1","C31 H32 O16 13C1",31,32,16,0,0,0,0.3478,0,60.3,1.03,0.52,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C30 H31 O15 N3","C30 H31 O15 N3",30,31,15,3,0,0,0.3333,0.2667,52.69905,1.03,0.5,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C32 H36 O15 13C1","C32 H36 O15 13C1",32,36,15,0,0,0,0.3061,-0.1875,65.64375,1.12,0.47,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C31 H22 O17","C31 H22 O17",31,22,17,0,0,0,0.5556,0.3871,49.26765,0.71,0.55,"CHO","Cond Hydrocarbon","aromatic","aromatic"
"C33 H39 O14 N1","C33 H39 O14 N1",33,39,14,1,0,0,0.28,-0.2424,67.2084,1.18,0.42,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C36 H36 O16","C36 H36 O16",36,36,16,0,0,0,0.3929,-0.1111,63.46635,1,0.44,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C30 H43 O16 N1","C30 H43 O16 N1",30,43,16,1,0,0,0.0476,-0.2667,67.90095,1.43,0.53,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C37 H40 O15","C37 H40 O15",37,40,15,0,0,0,0.3559,-0.2703,68.00355,1.08,0.41,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C32 H52 O14 13C1","C32 H52 O14 13C1",32,52,14,0,0,0,0,-0.75,81.675,1.62,0.44,"CHO","Protein","aliphatic","aliphatic"
"C33 H56 O13 13C1","C33 H56 O13 13C1",33,56,13,0,0,0,-0.0189,-0.9091,86.20935,1.7,0.39,"CHO","Protein","aliphatic","aliphatic"
"C34 H60 O12 13C1","C34 H60 O12 13C1",34,60,12,0,0,0,-0.0357,-1.0588,90.4758,1.76,0.35,"CHO","Protein","aliphatic","aliphatic"
"C29 H22 O19","C29 H22 O19",29,22,19,0,0,0,0.4872,0.5517,44.57655,0.76,0.66,"CHO","Tannin","unsaturated/lignin","unsaturated/lignin"
"C27 H30 O20","C27 H30 O20",27,30,20,0,0,0,0.1765,0.3704,49.7436,1.11,0.74,"CHO","Tannin","unsaturated/lignin","unsaturated/lignin"
"C29 H38 O18","C29 H38 O18",29,38,18,0,0,0,0.1,-0.069,62.2665,1.31,0.62,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C30 H30 O21","C30 H30 O21",30,30,21,0,0,0,0.2821,0.4,48.9,1,0.7,"CHO","Tannin","unsaturated/lignin","unsaturated/lignin"
"C29 H25 O18 N1","C29 H25 O18 N1",29,25,18,1,0,0,0.4211,0.4828,46.5402,0.86,0.62,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C34 H54 O12 13C1","C34 H54 O12 13C1",34,54,12,0,0,0,0.0714,-0.8824,85.4484,1.59,0.35,"CHO","Protein","aliphatic","aliphatic"
"C29 H26 O18 13C1","C29 H26 O18 13C1",29,26,18,0,0,0,0.4,0.3448,50.4732,0.9,0.62,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C30 H29 O17 N1","C30 H29 O17 N1",30,29,17,1,0,0,0.3659,0.2667,52.69905,0.97,0.57,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C33 H41 O14 N1","C33 H41 O14 N1",33,41,14,1,0,0,0.24,-0.303,68.9355,1.24,0.42,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C32 H24 O20","C32 H24 O20",32,24,20,0,0,0,0.5,0.5,46.05,0.75,0.62,"CHO","Cond Hydrocarbon","unsaturated/lignin","unsaturated/lignin"
"C32 H40 O19","C32 H40 O19",32,40,19,0,0,0,0.1556,-0.0625,62.08125,1.25,0.59,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C32 H20 O17","C32 H20 O17",32,20,17,0,0,0,0.617,0.4375,47.83125,0.62,0.53,"CHO","Cond Hydrocarbon","aromatic","aromatic"
"C29 H28 O17 N2","C29 H28 O17 N2",29,28,17,2,0,0,0.3514,0.4138,48.5067,0.97,0.59,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C35 H48 O13","C35 H48 O13",35,48,13,0,0,0,0.193,-0.6286,78.2151,1.37,0.37,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C36 H52 O12","C36 H52 O12",36,52,12,0,0,0,0.1667,-0.7778,82.4673,1.44,0.33,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C34 H60 O13","C34 H60 O13",34,60,13,0,0,0,-0.0545,-1,88.8,1.76,0.38,"CHO","Protein","aliphatic","aliphatic"
"C29 H28 O18 13C1","C29 H28 O18 13C1",29,28,18,0,0,0,0.35,0.2759,52.43685,0.97,0.62,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C30 H31 O17 N1","C30 H31 O17 N1",30,31,17,1,0,0,0.3171,0.2,54.6,1.03,0.57,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C29 H31 O16 N3","C29 H31 O16 N3",29,31,16,3,0,0,0.2778,0.3448,50.4732,1.07,0.55,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C39 H54 O13","C39 H54 O13",39,54,13,0,0,0,0.2,-0.7179,80.76015,1.38,0.33,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C35 H42 O13","C35 H42 O13",35,42,13,0,0,0,0.2982,-0.4571,73.32735,1.2,0.37,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C29 H26 O19","C29 H26 O19",29,26,19,0,0,0,0.3846,0.4138,48.5067,0.9,0.66,"CHO","Tannin","unsaturated/lignin","unsaturated/lignin"
"C34 H46 O14","C34 H46 O14",34,46,14,0,0,0,0.1852,-0.5294,75.3879,1.35,0.41,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C32 H28 O20","C32 H28 O20",32,28,20,0,0,0,0.4091,0.375,49.6125,0.88,0.62,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C37 H58 O11","C37 H58 O11",37,58,11,0,0,0,0.1111,-0.973,88.0305,1.57,0.3,"CHO","Lipid","aliphatic","aliphatic"
"C29 H29 O18 N1","C29 H29 O18 N1",29,29,18,1,0,0,0.3158,0.3448,50.4732,1,0.62,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C29 H30 O18 13C1","C29 H30 O18 13C1",29,30,18,0,0,0,0.3,0.2069,54.40335,1.03,0.62,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C30 H34 O17 13C1","C30 H34 O17 13C1",30,34,17,0,0,0,0.2558,0,60.3,1.13,0.57,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C33 H46 O14 13C1","C33 H46 O14 13C1",33,46,14,0,0,0,0.1538,-0.5455,75.84675,1.39,0.42,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C32 H57 O12 N1 S1","C32 H57 O12 N1 S1",32,57,12,1,0,1,-0.125,-0.875,85.2375,1.78,0.38,"CHONS","Protein","aliphatic","aliphatic+N"
"C31 H20 O18","C31 H20 O18",31,20,18,0,0,0,0.5909,0.5161,45.59115,0.65,0.58,"CHO","Cond Hydrocarbon","aromatic","aromatic"
"C28 H24 O20","C28 H24 O20",28,24,20,0,0,0,0.3889,0.5714,44.0151,0.86,0.71,"CHO","Tannin","unsaturated/lignin","unsaturated/lignin"
"C32 H24 O17","C32 H24 O17",32,24,17,0,0,0,0.5319,0.3125,51.39375,0.75,0.53,"CHO","Cond Hydrocarbon","aromatic","aromatic"
"C33 H28 O16","C33 H28 O16",33,28,16,0,0,0,0.48,0.1212,56.8458,0.85,0.48,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C37 H21 O16 N1","C37 H21 O16 N1",37,21,16,1,0,0,0.6786,0.3784,49.5156,0.57,0.43,"CHON","Cond Hydrocarbon","condensed aromatic","condensed aromatic"
"C36 H56 O12","C36 H56 O12",36,56,12,0,0,0,0.1,-0.8889,85.63365,1.56,0.33,"CHO","Protein","aliphatic","aliphatic"
"C33 H40 O14 13C1","C33 H40 O14 13C1",33,40,14,0,0,0,0.2692,-0.3636,70.6626,1.21,0.42,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C37 H60 O11","C37 H60 O11",37,60,11,0,0,0,0.0794,-1.027,89.5695,1.62,0.3,"CHO","Lipid","aliphatic","aliphatic"
"C43 H45 O10 N1","C43 H45 O10 N1",43,45,10,1,0,0,0.4324,-0.5116,74.8806,1.05,0.23,"CHON","Other","unsaturated/lignin","unsaturated/lignin"
"C29 H32 O18 13C1","C29 H32 O18 13C1",29,32,18,0,0,0,0.25,0.1379,56.36985,1.1,0.62,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C31 H39 O16 N1","C31 H39 O16 N1",31,39,16,1,0,0,0.1818,-0.129,63.9765,1.26,0.52,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C32 H43 O15 N1","C32 H43 O15 N1",32,43,15,1,0,0,0.1489,-0.3125,69.20625,1.34,0.47,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C32 H44 O15 13C1","C32 H44 O15 13C1",32,44,15,0,0,0,0.1429,-0.4375,72.76875,1.38,0.47,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C33 H47 O14 N1","C33 H47 O14 N1",33,47,14,1,0,0,0.12,-0.4848,74.1168,1.42,0.42,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C33 H48 O14 13C1","C33 H48 O14 13C1",33,48,14,0,0,0,0.1154,-0.6061,77.57385,1.45,0.42,"CHO","Protein","unsaturated/lignin","unsaturated/lignin"
"C39 H60 O13","C39 H60 O13",39,60,13,0,0,0,0.1077,-0.8718,85.1463,1.54,0.33,"CHO","Protein","aliphatic","aliphatic"
"C28 H26 O20","C28 H26 O20",28,26,20,0,0,0,0.3333,0.5,46.05,0.93,0.71,"CHO","Tannin","unsaturated/lignin","unsaturated/lignin"
"C32 H26 O17","C32 H26 O17",32,26,17,0,0,0,0.4894,0.25,53.175,0.81,0.53,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C34 H34 O15","C34 H34 O15",34,34,15,0,0,0,0.3962,-0.1176,63.6516,1,0.44,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C35 H38 O14","C35 H38 O14",35,38,14,0,0,0,0.3571,-0.2857,68.44245,1.09,0.4,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C31 H25 O17 N1","C31 H25 O17 N1",31,25,17,1,0,0,0.4884,0.3871,49.26765,0.81,0.55,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C31 H29 O15 N3","C31 H29 O15 N3",31,29,15,3,0,0,0.4146,0.3226,51.1059,0.94,0.48,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C29 H33 O18 N1","C29 H33 O18 N1",29,33,18,1,0,0,0.2105,0.2069,54.40335,1.14,0.62,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C22 H50 O18 N3 P1 S2","C22 H50 O18 N3 P1 S2",22,50,18,3,1,2,-2.1429,-0.2727,68.07195,2.27,0.82,"CHONPS","Other","aliphatic","lipid"
"C30 H38 O17 13C1","C30 H38 O17 13C1",30,38,17,0,0,0,0.1628,-0.1333,64.09905,1.27,0.57,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C31 H42 O16 13C1","C31 H42 O16 13C1",31,42,16,0,0,0,0.1304,-0.3226,69.4941,1.35,0.52,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C33 H49 O14 N1","C33 H49 O14 N1",33,49,14,1,0,0,0.08,-0.5455,75.84675,1.48,0.42,"CHON","Protein","unsaturated/lignin","unsaturated/lignin"
"C33 H50 O14 13C1","C33 H50 O14 13C1",33,50,14,0,0,0,0.0769,-0.6667,79.30095,1.52,0.42,"CHO","Protein","aliphatic","aliphatic"
"C31 H32 O21","C31 H32 O21",31,32,21,0,0,0,0.2683,0.3226,51.1059,1.03,0.68,"CHO","Tannin","unsaturated/lignin","unsaturated/lignin"
"C28 H28 O20","C28 H28 O20",28,28,20,0,0,0,0.2778,0.4286,48.0849,1,0.71,"CHO","Tannin","unsaturated/lignin","unsaturated/lignin"
"C37 H40 O16","C37 H40 O16",37,40,16,0,0,0,0.3448,-0.2162,66.4617,1.08,0.43,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C36 H44 O13","C36 H44 O13",36,44,13,0,0,0,0.2881,-0.5,74.55,1.22,0.36,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C31 H27 O17 N1","C31 H27 O17 N1",31,27,17,1,0,0,0.4419,0.3226,51.1059,0.87,0.55,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C31 H28 O17 13C1","C31 H28 O17 13C1",31,28,17,0,0,0,0.4222,0.1935,54.78525,0.9,0.55,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C30 H27 O16 N3","C30 H27 O16 N3",30,27,16,3,0,0,0.4211,0.4667,46.99905,0.9,0.53,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C32 H31 O16 N1","C32 H31 O16 N1",32,31,16,1,0,0,0.3913,0.125,56.7375,0.97,0.5,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C30 H40 O17 13C1","C30 H40 O17 13C1",30,40,17,0,0,0,0.1163,-0.2,66,1.33,0.57,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C31 H43 O16 N1","C31 H43 O16 N1",31,43,16,1,0,0,0.0909,-0.2581,67.65585,1.39,0.52,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C31 H44 O16 13C1","C31 H44 O16 13C1",31,44,16,0,0,0,0.087,-0.3871,71.33235,1.42,0.52,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C32 H47 O15 N1","C32 H47 O15 N1",32,47,15,1,0,0,0.0638,-0.4375,72.76875,1.47,0.47,"CHON","Protein","unsaturated/lignin","unsaturated/lignin"
"C32 H48 O15 13C1","C32 H48 O15 13C1",32,48,15,0,0,0,0.0612,-0.5625,76.33125,1.5,0.47,"CHO","Protein","aliphatic","aliphatic"
"C33 H52 O14 13C1","C33 H52 O14 13C1",33,52,14,0,0,0,0.0385,-0.7273,81.02805,1.58,0.42,"CHO","Protein","aliphatic","aliphatic"
"C34 H56 O13 13C1","C34 H56 O13 13C1",34,56,13,0,0,0,0.0182,-0.8824,85.4484,1.65,0.38,"CHO","Protein","aliphatic","aliphatic"
"C39 H50 O14","C39 H50 O14",39,50,14,0,0,0,0.25,-0.5641,76.37685,1.28,0.36,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C35 H60 O12 13C1","C35 H60 O12 13C1",35,60,12,0,0,0,0,-1.0286,89.6151,1.71,0.34,"CHO","Protein","aliphatic","aliphatic"
"C30 H22 O19","C30 H22 O19",30,22,19,0,0,0,0.5122,0.5333,45.10095,0.73,0.63,"CHO","Cond Hydrocarbon","aromatic","aromatic"
"C35 H52 O17","C35 H52 O17",35,52,17,0,0,0,0.0566,-0.5143,74.95755,1.49,0.49,"CHO","Protein","unsaturated/lignin","unsaturated/lignin"
"C31 H29 O17 N1","C31 H29 O17 N1",31,29,17,1,0,0,0.3953,0.2581,52.94415,0.94,0.55,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C31 H30 O17 13C1","C31 H30 O17 13C1",31,30,17,0,0,0,0.3778,0.129,56.6235,0.97,0.55,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C30 H29 O16 N3","C30 H29 O16 N3",30,29,16,3,0,0,0.3684,0.4,48.9,0.97,0.53,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C39 H30 O9 N1 P1","C39 H30 O9 N1 P1",39,30,9,1,1,0,0.6,-0.359,70.5315,0.77,0.23,"CHONP","Cond Hydrocarbon","aromatic","aromatic"
"C32 H34 O16 13C1","C32 H34 O16 13C1",32,34,16,0,0,0,0.3333,-0.0625,62.08125,1.06,0.5,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C31 H45 O12 N1 S2","C31 H45 O12 N1 S2",31,45,12,1,0,2,0.0455,-0.4516,73.1706,1.45,0.39,"CHONS","Protein","unsaturated/lignin","unsaturated/lignin"
"C33 H54 O14 13C1","C33 H54 O14 13C1",33,54,14,0,0,0,0,-0.7879,82.75515,1.64,0.42,"CHO","Protein","aliphatic","aliphatic"
"C31 H21 O17 N1","C31 H21 O17 N1",31,21,17,1,0,0,0.5814,0.5161,45.59115,0.68,0.55,"CHON","Cond Hydrocarbon","aromatic","aromatic"
"C39 H54 O14","C39 H54 O14",39,54,14,0,0,0,0.1875,-0.6667,79.30095,1.38,0.36,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C31 H44 O17","C31 H44 O17",31,44,17,0,0,0,0.0667,-0.3226,69.4941,1.42,0.55,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C32 H48 O16","C32 H48 O16",32,48,16,0,0,0,0.0417,-0.5,74.55,1.5,0.5,"CHO","Protein","aliphatic","aliphatic"
"C36 H48 O13","C36 H48 O13",36,48,13,0,0,0,0.2203,-0.6111,77.71635,1.33,0.36,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C37 H52 O12","C37 H52 O12",37,52,12,0,0,0,0.1935,-0.7568,81.8688,1.41,0.32,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C30 H27 O18 N1","C30 H27 O18 N1",30,27,18,1,0,0,0.4,0.4,48.9,0.9,0.6,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C31 H31 O17 N1","C31 H31 O17 N1",31,31,17,1,0,0,0.3488,0.1935,54.78525,1,0.55,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C31 H32 O17 13C1","C31 H32 O17 13C1",31,32,17,0,0,0,0.3333,0.0645,58.46175,1.03,0.55,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C35 H44 O17 13C1","C35 H44 O17 13C1",35,44,17,0,0,0,0.2075,-0.2857,68.44245,1.26,0.49,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C33 H40 O15 13C1","C33 H40 O15 13C1",33,40,15,0,0,0,0.2549,-0.303,68.9355,1.21,0.45,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C47 H91 O3 N1 S1","C47 H91 O3 N1 S1",47,91,3,1,0,1,-0.0115,-1.7021,108.80985,1.94,0.06,"CHONS","Lipid","aliphatic","aliphatic+N"
"C31 H47 O16 N1","C31 H47 O16 N1",31,47,16,1,0,0,0,-0.3871,71.33235,1.52,0.52,"CHON","Protein","aliphatic","aliphatic+N"
"C30 H30 O17 N2","C30 H30 O17 N2",30,30,17,2,0,0,0.3333,0.3333,50.80095,1,0.57,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C31 H46 O17","C31 H46 O17",31,46,17,0,0,0,0.0222,-0.3871,71.33235,1.48,0.55,"CHO","Protein","unsaturated/lignin","unsaturated/lignin"
"C34 H52 O13 13C1","C34 H52 O13 13C1",34,52,13,0,0,0,0.0909,-0.7647,82.09395,1.53,0.38,"CHO","Protein","aliphatic","aliphatic"
"C37 H54 O12","C37 H54 O12",37,54,12,0,0,0,0.1613,-0.8108,83.4078,1.46,0.32,"CHO","Protein","unsaturated/lignin","unsaturated/lignin"
"C31 H33 O17 N1","C31 H33 O17 N1",31,33,17,1,0,0,0.3023,0.129,56.6235,1.06,0.55,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C33 H41 O15 N1","C33 H41 O15 N1",33,41,15,1,0,0,0.2245,-0.2424,67.2084,1.24,0.45,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C34 H28 O16","C34 H28 O16",34,28,16,0,0,0,0.5,0.1176,56.9484,0.82,0.47,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C30 H32 O18 13C1","C30 H32 O18 13C1",30,32,18,0,0,0,0.2857,0.1333,56.50095,1.07,0.6,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C33 H44 O15 13C1","C33 H44 O15 13C1",33,44,15,0,0,0,0.1765,-0.4242,72.3897,1.33,0.45,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C29 H26 O20","C29 H26 O20",29,26,20,0,0,0,0.3684,0.4828,46.5402,0.9,0.69,"CHO","Tannin","unsaturated/lignin","unsaturated/lignin"
"C33 H26 O17","C33 H26 O17",33,26,17,0,0,0,0.5102,0.2424,53.3916,0.79,0.52,"CHO","Cond Hydrocarbon","aromatic","aromatic"
"C37 H58 O12","C37 H58 O12",37,58,12,0,0,0,0.0968,-0.9189,86.48865,1.57,0.32,"CHO","Protein","aliphatic","aliphatic"
"C38 H62 O11","C38 H62 O11",38,62,11,0,0,0,0.0769,-1.0526,90.2991,1.63,0.29,"CHO","Lipid","aliphatic","aliphatic"
"C35 H71 O7 N2 P1 S1","C35 H71 O7 N2 P1 S1",35,71,7,2,1,1,-0.2,-1.5429,104.27265,2.03,0.2,"CHONPS","Lipid","aliphatic","lipid"
"C30 H33 O18 N1","C30 H33 O18 N1",30,33,18,1,0,0,0.25,0.2,54.6,1.1,0.6,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C30 H34 O18 13C1","C30 H34 O18 13C1",30,34,18,0,0,0,0.2381,0.0667,58.39905,1.13,0.6,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C31 H37 O17 N1","C31 H37 O17 N1",31,37,17,1,0,0,0.2093,0,60.3,1.19,0.55,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C39 H52 O15","C39 H52 O15",39,52,15,0,0,0,0.2063,-0.5641,76.37685,1.33,0.38,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C31 H38 O17 13C1","C31 H38 O17 13C1",31,38,17,0,0,0,0.2,-0.129,63.9765,1.23,0.55,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C32 H42 O16 13C1","C32 H42 O16 13C1",32,42,16,0,0,0,0.1667,-0.3125,69.20625,1.31,0.5,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C41 H50 O3 N3 P1 S1","C41 H50 O3 N3 P1 S1",41,50,3,3,1,1,0.3623,-0.9268,86.7138,1.22,0.07,"CHONPS","Unsat Hydrocarbon","unsaturated/lignin","unsaturated/lignin"
"C32 H24 O18","C32 H24 O18",32,24,18,0,0,0,0.5217,0.375,49.6125,0.75,0.56,"CHO","Cond Hydrocarbon","aromatic","aromatic"
"C30 H26 O18 13C1","C30 H26 O18 13C1",30,26,18,0,0,0,0.4286,0.3333,50.80095,0.87,0.6,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C37 H60 O12","C37 H60 O12",37,60,12,0,0,0,0.0645,-0.973,88.0305,1.62,0.32,"CHO","Protein","aliphatic","aliphatic"
"C32 H27 O17 N1","C32 H27 O17 N1",32,27,17,1,0,0,0.4667,0.3125,51.39375,0.84,0.53,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C33 H31 O16 N1","C33 H31 O16 N1",33,31,16,1,0,0,0.4167,0.1212,56.8458,0.94,0.48,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C30 H36 O18 13C1","C30 H36 O18 13C1",30,36,18,0,0,0,0.1905,0,60.3,1.2,0.6,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C31 H45 O16 N1","C31 H45 O16 N1",31,45,16,1,0,0,0.0455,-0.3226,69.4941,1.45,0.52,"CHON","Protein","unsaturated/lignin","unsaturated/lignin"
"C32 H43 O16 N1","C32 H43 O16 N1",32,43,16,1,0,0,0.1304,-0.25,67.425,1.34,0.5,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C32 H44 O16 13C1","C32 H44 O16 13C1",32,44,16,0,0,0,0.125,-0.375,70.9875,1.38,0.5,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C33 H47 O15 N1","C33 H47 O15 N1",33,47,15,1,0,0,0.102,-0.4242,72.3897,1.42,0.45,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C32 H26 O18","C32 H26 O18",32,26,18,0,0,0,0.4783,0.3125,51.39375,0.81,0.56,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C36 H42 O14","C36 H42 O14",36,42,14,0,0,0,0.3103,-0.3889,71.38365,1.17,0.39,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C37 H34 O9 N1 P1 S1","C37 H34 O9 N1 P1 S1",37,34,9,1,1,1,0.4915,-0.4324,72.6234,0.92,0.24,"CHONPS","Other","unsaturated/lignin","unsaturated/lignin"
"C30 H38 O18 13C1","C30 H38 O18 13C1",30,38,18,0,0,0,0.1429,-0.0667,62.20095,1.27,0.6,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C31 H42 O17 13C1","C31 H42 O17 13C1",31,42,17,0,0,0,0.1111,-0.2581,67.65585,1.35,0.55,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C32 H45 O16 N1","C32 H45 O16 N1",32,45,16,1,0,0,0.087,-0.3125,69.20625,1.41,0.5,"CHON","Lignin","unsaturated/lignin","unsaturated/lignin"
"C31 H24 O19","C31 H24 O19",31,24,19,0,0,0,0.4884,0.4516,47.4294,0.77,0.61,"CHO","Cond Hydrocarbon","unsaturated/lignin","unsaturated/lignin"
"C29 H32 O20","C29 H32 O20",29,32,20,0,0,0,0.2105,0.2759,52.43685,1.1,0.69,"CHO","Tannin","unsaturated/lignin","unsaturated/lignin"
"C32 H44 O17","C32 H44 O17",32,44,17,0,0,0,0.1064,-0.3125,69.20625,1.38,0.53,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C36 H36 O19","C36 H36 O19",36,36,19,0,0,0,0.3585,0.0556,58.7154,1,0.53,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C38 H52 O12","C38 H52 O12",38,52,12,0,0,0,0.2188,-0.7368,81.2988,1.37,0.32,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C26 H40 O17 N1 P1 S1","C26 H40 O17 N1 P1 S1",26,40,17,1,1,1,-0.2414,-0.2308,66.8778,1.54,0.65,"CHONPS","Amino Sugar","aliphatic","aliphatic+N"
"C29 H25 O19 N1","C29 H25 O19 N1",29,25,19,1,0,0,0.4054,0.5517,44.57655,0.86,0.66,"CHON","Tannin","unsaturated/lignin","unsaturated/lignin"
"C31 H26 O19","C31 H26 O19",31,26,19,0,0,0,0.4419,0.3871,49.26765,0.84,0.61,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C31 H42 O18","C31 H42 O18",31,42,18,0,0,0,0.0909,-0.1935,65.81475,1.35,0.58,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C38 H46 O17","C38 H46 O17",38,46,17,0,0,0,0.2542,-0.3158,69.3003,1.21,0.45,"CHO","Lignin","unsaturated/lignin","unsaturated/lignin"
"C40 H62 O10","C40 H62 O10",40,62,10,0,0,0,0.1429,-1.05,90.225,1.55,0.25,"CHO","Lipid","aliphatic","aliphatic"
